fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001,0.920078056764029
0.0,0.031,0.869787931218109
0.001,0.031,0.8683177319963856
0.001,0.039,0.8597543591484758
0.002,0.039,0.8587478128140412
0.002,0.052,0.8512026333628925
0.003,0.052,0.849965954726452
0.003,0.059,0.8462944672071679
0.004,0.059,0.8449309276555641
0.004,0.062,0.8437911521288949
0.005,0.062,0.8435406070681448
0.005,0.075,0.839300565926696
0.006,0.075,0.8371174041309266
0.006,0.08,0.8344223573685342
0.009,0.08,0.8335133159073544
0.009,0.099,0.828673353071628
0.011,0.099,0.8283408178701871
0.011,0.1,0.8278401602558738
0.012,0.1,0.8275871759021184
0.012,0.106,0.8268269081188893
0.014,0.106,0.825380087991897
0.014,0.107,0.825130717639502
0.015,0.107,0.824957429695116
0.015,0.109,0.824704642614104
0.015,0.111,0.823828383765139
0.016,0.111,0.8236369628276523
0.016,0.112,0.8235837816081907
0.017,0.112,0.8235236234379234
0.017,0.124,0.8215677922198005
0.018,0.124,0.8214128384711239
0.018,0.134,0.8203196763910121
0.02,0.134,0.8200436785376091
0.02,0.137,0.8193631700899506
0.021,0.137,0.8193417428342076
0.021,0.139,0.8192322245266122
0.022,0.139,0.8190654005109818
0.022,0.145,0.8179846631272957
0.025,0.145,0.8177563034916581
0.025,0.147,0.8176113348325965
0.026,0.147,0.8171744674742175
0.026,0.156,0.8160693558383265
0.026,0.158,0.81605809663191
0.028,0.158,0.8160030080983744
0.028,0.16,0.8159499867937051
0.029,0.16,0.8159049171772181
0.029,0.166,0.8155471445976329
0.03,0.166,0.8153785030865074
0.03,0.175,0.8146445238654841
0.03,0.177,0.814638947851823
0.031,0.177,0.8146338494003817
0.031,0.182,0.8143051863383193
0.032,0.182,0.8143041304292468
0.032,0.183,0.814207768407227
0.033,0.183,0.8142014400210097
0.033,0.187,0.8139384844459102
0.034,0.187,0.813924362692231
0.034,0.197,0.8129532340413621
0.035,0.197,0.8127589726969549
0.035,0.21,0.8120642807080386
0.037,0.21,0.8118889705548257
0.037,0.215,0.8116423419880936
0.038,0.215,0.8115395492671313
0.038,0.231,0.8111286207593545
0.039,0.231,0.8111250385724543
0.039,0.233,0.8110590540017806
0.04,0.233,0.8109967400132186
0.04,0.237,0.8108171783845538
0.041,0.237,0.8107645666425717
0.041,0.239,0.8107524953878826
0.043,0.239,0.8106600394427176
0.043,0.246,0.8103546878265054
0.044,0.246,0.8103328858716814
0.044,0.248,0.8102482037389493
0.045,0.248,0.8102323480769994
0.045,0.25,0.8102036784465549
0.046,0.25,0.8101981805074217
0.046,0.251,0.8101737797433567
0.047,0.251,0.8101497555867263
0.047,0.252,0.8101290401510896
0.048,0.252,0.810028872855497
0.048,0.261,0.8095180130986592
0.049,0.261,0.8094602213054918
0.049,0.264,0.8093626262330241
0.05,0.264,0.8092980855425538
0.05,0.266,0.8092857725156171
0.051,0.266,0.8092331004611032
0.051,0.276,0.8088579538258179
0.052,0.276,0.808765442777284
0.052,0.277,0.8087554630818553
0.053,0.277,0.8086202513575784
0.053,0.283,0.8081333241905072
0.054,0.283,0.8080956785572851
0.054,0.292,0.8079228052640882
0.055,0.292,0.8078875843680036
0.055,0.299,0.8074234905410713
0.056,0.299,0.8073318280287489
0.056,0.303,0.807180474382034
0.059,0.303,0.8071169006462543
0.059,0.304,0.8071066411982637
0.06,0.304,0.8070821961560427
0.06,0.307,0.807062830578447
0.061,0.307,0.8070425981738649
0.061,0.308,0.8069970426684477
0.062,0.308,0.8068864212892485
0.062,0.31,0.8068625879357807
0.064,0.31,0.8068356585599612
0.064,0.311,0.8067886396260192
0.065,0.311,0.8066610974866661
0.065,0.315,0.8065205812945933
0.066,0.315,0.8064727291250537
0.066,0.32,0.8062096298159167
0.068,0.32,0.8061229144088435
0.068,0.321,0.8060402410512544
0.069,0.321,0.8060277193912215
0.069,0.328,0.805830565347737
0.07,0.328,0.8057435082117228
0.07,0.329,0.8057048740474206
0.071,0.329,0.8056780581194467
0.071,0.331,0.8055985873138966
0.072,0.331,0.8055401552839573
0.072,0.344,0.8049728113673187
0.073,0.344,0.804925351530325
0.073,0.345,0.8048387723660793
0.074,0.345,0.8047576017369792
0.074,0.349,0.8046830537430306
0.075,0.349,0.804660455129322
0.075,0.352,0.8045478497041381
0.076,0.352,0.8045439598633792
0.076,0.367,0.8041449612354873
0.077,0.367,0.8040845598502194
0.077,0.368,0.8040826616980029
0.079,0.368,0.8040384056523074
0.079,0.373,0.8036565556502662
0.08,0.373,0.803648072228909
0.08,0.385,0.8031662483736004
0.081,0.385,0.8031618903469775
0.081,0.389,0.8029224377267413
0.082,0.389,0.8029149433030908
0.082,0.393,0.8027580790461902
0.083,0.393,0.8026627355136736
0.083,0.403,0.8021935549586785
0.084,0.403,0.802191845768511
0.084,0.404,0.8021773017525543
0.085,0.404,0.8021675973167728
0.085,0.405,0.8021432278390436
0.086,0.405,0.8021331383650264
0.086,0.407,0.8020598797135589
0.087,0.407,0.8020433746876525
0.087,0.418,0.8017789411542088
0.088,0.418,0.801771261811616
0.088,0.419,0.8017544163676411
0.089,0.419,0.8017473508102846
0.089,0.422,0.8016688554599146
0.09,0.422,0.8016636514617789
0.09,0.431,0.8013010368942906
0.092,0.431,0.8012348567964336
0.092,0.449,0.8004842320376674
0.093,0.449,0.800461789091793
0.093,0.451,0.8003898623444127
0.095,0.451,0.8003191934037445
0.095,0.452,0.8002727290111696
0.096,0.452,0.800248819493739
0.096,0.453,0.8002346334456175
0.097,0.453,0.8001138970692797
0.097,0.469,0.7994590246475061
0.098,0.469,0.7994255778353025
0.098,0.481,0.7989093603962537
0.099,0.481,0.7988700309962549
0.099,0.488,0.798689644163452
0.1,0.488,0.7985064007983472
0.1,0.489,0.7984790363816313
0.101,0.489,0.7983780836142271
0.101,0.496,0.7982295188133166
0.102,0.496,0.798222865683757
0.102,0.497,0.7981649588578598
0.103,0.497,0.7981366428803414
0.103,0.499,0.7979911265252435
0.104,0.499,0.7979698422980654
0.104,0.501,0.7978904421785217
0.105,0.501,0.797822836442224
0.105,0.502,0.7977724834919393
0.106,0.502,0.7977630478601117
0.106,0.51,0.7975716665958579
0.108,0.51,0.7974927233827893
0.108,0.525,0.7970940216163142
0.11,0.525,0.7970488954861829
0.11,0.529,0.7969640362669075
0.111,0.529,0.7969310443937572
0.111,0.532,0.7968934374110269
0.114,0.532,0.7968156334449104
0.114,0.533,0.7967632476224379
0.115,0.533,0.7967513908302669
0.115,0.541,0.7966283781681209
0.115,0.543,0.7965493496529639
0.116,0.543,0.7965421532758183
0.116,0.546,0.7963767768446919
0.117,0.546,0.7962472159717494
0.117,0.552,0.7959890210544608
0.118,0.552,0.7959643020927804
0.118,0.554,0.7959502802073126
0.119,0.554,0.7958915400171369
0.119,0.559,0.7957528989102728
0.12,0.559,0.7957042244504555
0.12,0.572,0.7953271574654279
0.121,0.572,0.7952784658366215
0.121,0.576,0.7951201235328245
0.122,0.576,0.7950983701995881
0.122,0.579,0.7950012920234047
0.123,0.579,0.794985878636297
0.123,0.58,0.7949050835200447
0.124,0.58,0.7948530424140798
0.124,0.584,0.7947513241989577
0.125,0.584,0.7947434544641755
0.125,0.588,0.7946186136881669
0.127,0.588,0.7945753259369418
0.127,0.59,0.7945587912124265
0.128,0.59,0.7945541873270785
0.128,0.592,0.7944253702093518
0.129,0.592,0.7944110297924343
0.129,0.594,0.7943876790162974
0.13,0.594,0.7943578947763679
0.13,0.596,0.7943334796401271
0.13,0.601,0.7941971117900778
0.131,0.601,0.7941531424435513
0.131,0.605,0.794053169322474
0.132,0.605,0.794043299038027
0.132,0.608,0.7940201269908214
0.133,0.608,0.7939836324393796
0.133,0.609,0.7939641722198955
0.134,0.609,0.7939608159225389
0.134,0.611,0.7938959057262485
0.135,0.611,0.7938778874044042
0.135,0.617,0.7936382294434771
0.136,0.617,0.7936114940035656
0.136,0.62,0.7935378929267899
0.137,0.62,0.7935191949555056
0.137,0.621,0.7935159019244024
0.138,0.621,0.7935024617383143
0.138,0.624,0.7934277831495611
0.139,0.624,0.7934255378798029
0.139,0.627,0.7933589490596273
0.14,0.627,0.7933572813861135
0.14,0.639,0.7929433070135422
0.141,0.639,0.7928940880916978
0.141,0.648,0.7927226912755474
0.143,0.648,0.7926914066575861
0.143,0.653,0.7924345938295957
0.144,0.653,0.7923924327443547
0.144,0.659,0.7922497510463138
0.146,0.659,0.7922163316707748
0.146,0.669,0.7918443557531002
0.147,0.669,0.7918074155349073
0.147,0.67,0.7917706874914077
0.148,0.67,0.7917504068444505
0.148,0.671,0.7917076104809656
0.15,0.671,0.7915447325394275
0.15,0.673,0.7915270799548894
0.151,0.673,0.7915148397254588
0.151,0.676,0.7913924682175291
0.152,0.676,0.7913549485254912
0.152,0.679,0.7911789664171492
0.153,0.679,0.7910904235372809
0.153,0.688,0.7905286136030897
0.154,0.688,0.79052341651188
0.154,0.693,0.7888983501999667
0.155,0.693,0.7887222408055417
0.155,0.694,0.7887193047486507
0.156,0.694,0.7884071704708675
0.156,0.695,0.7882092551434043
0.157,0.695,0.788073287650113
0.157,0.696,0.7880579825749432
0.158,0.696,0.7877111074016124
0.158,0.703,0.7868091557251281
0.159,0.703,0.7866622966398225
0.159,0.704,0.7864323184720696
0.161,0.704,0.7862086242721508
0.161,0.705,0.7861100652404472
0.162,0.705,0.7858164388285388
0.162,0.709,0.7850721608219258
0.163,0.709,0.784948923351507
0.163,0.716,0.7836117205212093
0.166,0.716,0.7832127931978429
0.166,0.72,0.7823441079673928
0.168,0.72,0.7819666498291007
0.168,0.727,0.7806911798917462
0.169,0.727,0.7805330113358766
0.169,0.729,0.7802973094881567
0.17,0.729,0.780255662040277
0.17,0.731,0.7800352153817616
0.171,0.731,0.7797128395620818
0.171,0.739,0.7782540233906292
0.173,0.739,0.7780337544975303
0.173,0.744,0.7772633711896544
0.174,0.744,0.7767169736189108
0.174,0.746,0.7762067776351592
0.175,0.746,0.7761673679657046
0.175,0.747,0.7759188360615454
0.176,0.747,0.7758755873324173
0.176,0.752,0.7743898042953273
0.177,0.752,0.773958598063112
0.177,0.758,0.7716588706188597
0.178,0.758,0.7707129502828124
0.178,0.759,0.7704480034367669
0.181,0.759,0.7696614307493005
0.181,0.763,0.7678964258047508
0.183,0.763,0.7677530471844225
0.183,0.766,0.7654373563530955
0.184,0.766,0.7653494108543125
0.184,0.777,0.761401418421587
0.185,0.777,0.761284714848402
0.185,0.779,0.7587076203458304
0.187,0.779,0.758236994892945
0.187,0.783,0.7565118290020854
0.188,0.783,0.755095177612173
0.188,0.789,0.7534969317164675
0.189,0.789,0.7530341048295397
0.189,0.792,0.7523402090450378
0.19,0.792,0.7521764940676945
0.19,0.796,0.7509489597634451
0.192,0.796,0.7505115669308564
0.192,0.798,0.7482584053596918
0.193,0.798,0.7474480936964567
0.193,0.8,0.7466231774061164
0.194,0.8,0.7462604317574064
0.194,0.803,0.7453744427281195
0.195,0.803,0.7421373523736622
0.195,0.804,0.7418634448927401
0.197,0.804,0.7414412342979347
0.197,0.818,0.7304122216296627
0.198,0.818,0.7297105190537001
0.198,0.819,0.7287832109736542
0.199,0.819,0.7287423499393478
0.199,0.823,0.7244967867095401
0.202,0.823,0.7232948606533636
0.202,0.824,0.7228097690583695
0.203,0.824,0.720768240245588
0.203,0.826,0.7199971000429217
0.204,0.826,0.7190269839656313
0.204,0.827,0.7186231399382034
0.205,0.827,0.718207290363547
0.205,0.829,0.7152786375592334
0.206,0.829,0.7150254386998016
0.206,0.833,0.7137349848948025
0.207,0.833,0.7137100006067859
0.207,0.834,0.7135281586186747
0.209,0.834,0.711512712994956
0.209,0.836,0.7101259334654427
0.211,0.836,0.7074856759603511
0.211,0.837,0.7073294429384326
0.212,0.837,0.7072828785487707
0.212,0.839,0.7068352280789103
0.213,0.839,0.7064806392362296
0.213,0.842,0.705441036076474
0.214,0.842,0.7036651787917824
0.214,0.845,0.7026543184456505
0.215,0.845,0.702060251547559
0.215,0.85,0.6964053251221016
0.216,0.85,0.6957188043796364
0.216,0.853,0.6940424993186859
0.217,0.853,0.6932492812710572
0.217,0.861,0.678878823569185
0.219,0.861,0.6779758531663804
0.219,0.863,0.674293005320634
0.223,0.863,0.6652862425710256
0.223,0.864,0.6647763476712609
0.224,0.864,0.6642081848609791
0.224,0.866,0.6599391656467337
0.225,0.866,0.6588009967458831
0.225,0.868,0.6569630591661814
0.227,0.868,0.6550614381612877
0.227,0.87,0.6548410906545772
0.229,0.87,0.6529592412619352
0.229,0.871,0.6529035387383785
0.232,0.871,0.6473946977247509
0.232,0.876,0.6405623807134601
0.233,0.876,0.639891039949589
0.233,0.879,0.6359078307080918
0.234,0.879,0.63539792516925
0.234,0.885,0.6227014781617929
0.238,0.885,0.6165235408406943
0.238,0.886,0.6160882388169829
0.239,0.886,0.6154157487463953
0.239,0.889,0.6087343471431798
0.24,0.889,0.6077482091339035
0.24,0.89,0.6070058506782847
0.243,0.89,0.6043303813861204
0.243,0.896,0.5926966189038463
0.245,0.896,0.5920414556014882
0.245,0.898,0.5891170873754009
0.246,0.898,0.5862773225832559
0.246,0.899,0.5807503300307819
0.247,0.899,0.5788286261488547
0.247,0.906,0.5694896978242975
0.248,0.906,0.5641044390013338
0.248,0.907,0.5629127931251955
0.25,0.907,0.5548023508373335
0.25,0.908,0.5514222745844433
0.251,0.908,0.5478933933468345
0.251,0.911,0.5462096625610796
0.253,0.911,0.5454390477270484
0.253,0.916,0.5348034752760057
0.254,0.916,0.5333482628395746
0.254,0.917,0.5325635936362435
0.255,0.917,0.531270577557922
0.255,0.918,0.5223586959991631
0.256,0.918,0.5193059080780604
0.256,0.921,0.511163802284745
0.259,0.921,0.5052143777188607
0.26,0.924,0.5
0.261,0.924,0.4837648503178811
0.261,0.928,0.4757424731717057
0.262,0.928,0.4755005060957018
0.262,0.93,0.4677939780396817
0.263,0.93,0.4628737266135902
0.263,0.931,0.4623953568753293
0.264,0.931,0.4618050852525632
0.264,0.932,0.46049234659402705
0.267,0.932,0.4578514140169315
0.267,0.935,0.44140721913838094
0.268,0.935,0.438926534753238
0.268,0.94,0.4253693843341749
0.269,0.94,0.42229781578058245
0.269,0.941,0.42222238696776937
0.271,0.941,0.4038112223250261
0.271,0.942,0.398797016503458
0.272,0.942,0.39714987571000715
0.272,0.945,0.3904624995096156
0.274,0.945,0.38988605587932473
0.274,0.946,0.38970988888872093
0.275,0.946,0.3873424470039664
0.275,0.948,0.3773661780792753
0.277,0.948,0.3666712827987074
0.277,0.951,0.36448140811556284
0.278,0.951,0.36084321578532164
0.278,0.952,0.3580675555644195
0.28,0.952,0.356396311642289
0.28,0.954,0.35089799424116086
0.286,0.954,0.3326415538634741
0.286,0.955,0.33200733228270984
0.289,0.955,0.32187288376888223
0.289,0.956,0.3211823344167452
0.29,0.956,0.3184463986716289
0.29,0.957,0.31806958983883027
0.291,0.957,0.3174609182907085
0.291,0.958,0.3165607322287736
0.293,0.958,0.31101782920455023
0.293,0.959,0.3099851467813479
0.295,0.959,0.3041274428484351
0.295,0.96,0.3023199866824768
0.296,0.96,0.3022208887429918
0.296,0.963,0.2919676226078219
0.302,0.963,0.27816341640792813
0.302,0.964,0.2755698727227135
0.303,0.964,0.27068783734667895
0.303,0.966,0.26906132613563727
0.308,0.966,0.2533570293581054
0.308,0.967,0.2507150711252466
0.309,0.967,0.24757472095718755
0.309,0.968,0.242858599778201
0.31,0.968,0.24123134496214182
0.31,0.973,0.2277418310220021
0.313,0.973,0.21968662162389627
0.313,0.974,0.2105549899354396
0.318,0.974,0.1936803476340833
0.318,0.976,0.19059102517552004
0.319,0.976,0.18641193459998906
0.319,0.977,0.18142263204574335
0.32,0.977,0.17855387554290386
0.32,0.978,0.17772956667573614
0.321,0.978,0.17548533456315688
0.321,0.979,0.17163541829904005
0.326,0.979,0.1552212328668968
0.326,0.98,0.1518863325853726
0.327,0.98,0.15108950593852136
0.327,0.981,0.14919425781110005
0.328,0.981,0.14759592712234818
0.328,0.982,0.14717716301021505
0.334,0.982,0.13394994214677894
0.334,0.983,0.13313017923949588
0.338,0.983,0.12685493742966814
0.338,0.984,0.12671082457491625
0.344,0.984,0.12268070095702968
0.344,0.985,0.12194775927263594
0.348,0.985,0.11658963827397202
0.348,0.986,0.11623814014024698
0.352,0.986,0.11111053481697368
0.352,0.987,0.11030046134748443
0.358,0.987,0.10553443147654598
0.358,0.988,0.10549861547445324
0.365,0.988,0.09835614494980735
0.374,0.988,0.097839194511493
0.38,0.988,0.09766370758437627
0.384,0.988,0.0974922926552422
0.387,0.988,0.09732494358455028
0.389,0.988,0.09700241922607654
0.39,0.988,0.09654898204985245
0.39,0.99,0.09560715253113396
0.391,0.99,0.09500188541634101
0.391,0.991,0.0949953437327416
0.402,0.991,0.08782138235810798
0.402,0.992,0.08756502555011078
0.403,0.992,0.08702696225728054
0.403,0.993,0.0868708204224161
0.42,0.993,0.08230226994280516
0.42,0.994,0.08111944967046082
0.447,0.994,0.07385656306703403
0.447,0.995,0.07365695942402872
0.45,0.995,0.07310716807203149
0.452,0.995,0.07310010726732472
0.501,0.995,0.06375617689414582
0.503,0.995,0.06347530944957325
0.503,0.996,0.0634415899500788
0.508,0.996,0.06193685921291609
0.51,0.996,0.06177964498406923
0.565,0.996,0.04916719455418821
0.565,0.997,0.049067465492985025
0.584,0.997,0.04465072154330429
0.584,0.998,0.04459901933850573
0.693,0.998,0.026392223833653347
0.693,0.999,0.026148062502782534
0.85,0.999,0.014786094896185266
0.85,1.0,0.014753356140007506
1.0,1.0,0.005761423121992734
